id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
474560,18,SavedShot,0.909000015258789,0.39599998474121095,0.37939175963401794,Davide Calabria,a,1574,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Sandro Tonali,Pass
474561,21,SavedShot,0.9169999694824219,0.5359999847412109,0.03571109473705292,Olivier Giroud,a,502,FromCorner,2021,Head,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Theo Hernández,Aerial
474564,26,MissedShots,0.8219999694824218,0.34,0.037506282329559326,Rade Krunic,a,1311,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Alexis Saelemaekers,Pass
474565,27,MissedShots,0.7709999847412109,0.485,0.02855408564209938,Alexis Saelemaekers,a,8297,OpenPlay,2021,LeftFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,,None
474568,40,BlockedShot,0.784000015258789,0.40700000762939453,0.029524918645620346,Davide Calabria,a,1574,OpenPlay,2021,LeftFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,,None
474569,43,BlockedShot,0.764000015258789,0.3890000152587891,0.023381704464554787,Alexis Saelemaekers,a,8297,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Franck Kessié,Pass
474570,47,Goal,0.9719999694824218,0.49900001525878906,0.9150099158287048,Sandro Tonali,a,7958,OpenPlay,2021,LeftFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Rafael Leão,Pass
474571,48,Goal,0.9790000152587891,0.4779999923706055,0.9675041437149048,Sandro Tonali,a,7958,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Rafael Leão,Pass
474572,54,MissedShots,0.9,0.4570000076293945,0.03160262480378151,Fikayo Tomori,a,703,SetPiece,2021,Head,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Theo Hernández,Aerial
474574,63,BlockedShot,0.785,0.524000015258789,0.0726400688290596,Franck Kessié,a,1489,OpenPlay,2021,LeftFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Rafael Leão,Pass
474575,64,SavedShot,0.9169999694824219,0.6790000152587891,0.08243238180875778,Rafael Leão,a,7193,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Ante Rebic,Pass
474579,79,SavedShot,0.7380000305175781,0.305,0.017281563952565193,Davide Calabria,a,1574,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,,BallRecovery
474581,85,Goal,0.889000015258789,0.33,0.07937439531087875,Alessandro Florenzi,a,1254,OpenPlay,2021,RightFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Junior Messias,Pass
474582,90,MissedShots,0.845999984741211,0.4209999847412109,0.2665601670742035,Junior Messias,a,8838,OpenPlay,2021,LeftFoot,17108,Verona,AC Milan,1,3,2022-05-08 18:45:00,Ante Rebic,Pass
472110,11,MissedShots,0.9640000152587891,0.645,0.30297353863716125,Theo Hernández,h,2547,OpenPlay,2021,LeftFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,,None
472111,13,MissedShots,0.9259999847412109,0.6140000152587891,0.10834583640098572,Olivier Giroud,h,502,SetPiece,2021,Head,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Sandro Tonali,Cross
472114,29,BlockedShot,0.9019999694824219,0.6840000152587891,0.06360521912574768,Rafael Leão,h,7193,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Brahim Diaz,Pass
472115,32,MissedShots,0.7880000305175782,0.545,0.03555039316415787,Franck Kessié,h,1489,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Olivier Giroud,None
472116,41,BlockedShot,0.7980000305175782,0.4570000076293945,0.03360516577959061,Davide Calabria,h,1574,SetPiece,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,,None
472117,41,MissedShots,0.8069999694824219,0.4570000076293945,0.03837813809514046,Davide Calabria,h,1574,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,,Rebound
472118,44,BlockedShot,0.8159999847412109,0.69,0.025038419291377068,Rafael Leão,h,7193,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Franck Kessié,Pass
472120,47,MissedShots,0.9019999694824219,0.5120000076293946,0.46153947710990906,Rafael Leão,h,7193,OpenPlay,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Olivier Giroud,TakeOn
472122,51,BlockedShot,0.86,0.49400001525878906,0.07748774439096451,Olivier Giroud,h,502,SetPiece,2021,RightFoot,17100,AC Milan,Fiorentina,1,0,2022-05-01 13:00:00,Davide Calabria,BallTouch
